book,page,keyword,ctx_before,ctx_after
xianzhi,p-0081,训练,"干问题的决定(草案7》(即《前十条》,抽调87人先后在城郊、回水公社搞社会主义教育运动(简称“社教“)试点。10月抽调并","社教工作队队员800多人组成工作团、队,10月8日分赴东青、城郊两个区、12个公社、125个大队、815个生产队开展社教,即开展以“清理帐目、清理仓库、清理财务、清理工分“为主要内容的“小四清“。运动中“重新组织以贫下中农为主体的革命阶级队伍“,依靠基层组织和基层干部,发动群众,“打退农村资本主义势力和封建势力的进攻。“1963年11月贯彻中共中央《关于农村社会主义教育运动中一些具体政策的规定(修正草案》(即《后十条》),重点以“清政治、清组织、清经济、清思想“为主要内容的“大四清“,改变了原来依靠基层组织和基层干部的政策,把放手发动群众放在第一位、首先解决干部中的问题;运动转为由工作团、队领导,使不"
xianzhi,p-0100,联保,"乡苏维埃,46个村苏维埃。民国24年(1935)夏,废除军闻防区制,实现川政统一。县以下设区分保,全县划为5个区,36个",",203保.25年夏,改5个区为3个区,改36个联保为东北、西南、"
xianzhi,p-0101,联保,"岳东、双龙、运河、文昌、彭石、白庙9乡。乡以下共设203保、2122甲。民国28年8月《四川省保甲概况》:,“苍溪区3,","(乡)30,保208,甲3045“。29年将30乡并为城暗、东青、玉树、五峰、伏回、三川、五龙、龙王、元中、歧白、东石、岳滑、高黄、文运、龙彭15乡,辖288保,、3153甲。34年,为集中权力,撒销区,改设指导员.将城厢乡改为城厢镇。36年,国民政府为缓和政局,增划乡保。恢复三个区,全县划为20乡镇。三川、歧白两乡分为三川,石喷、歧坪、白庙四乡,五龙分为永宁、.浙水二乡,岳滑分为岳东、滑土二乡,龙彭分为双龙、彭石二乡。保、甲仍旧。1950年1月18日苍溪县人民政府成立,仍为1镇、19乡、289保(包括街保)。2月1日改为10个区:即一区(烟峰楼)、二区(东岳庙)、三区(五龙)、四区(三川)、五区(歧坪)、六区(龙王)、七区(岳东)、八区(东溪)、九区(文昌)、十区(龙山3;4月并为7个区:即一区(城厢)、二区(东青)、三区(五龙)、四区(三川)、五区(歧坪》、六区(东溪)、七区(龙山)。"
xianzhi,p-0102,联保,"明、清为桂花乡。清末至民国22年(1933)隶属城区,1934年红四方面军在金垭子建乡苏维捉。民国24年6月分属东北乡(",")、西南乡(联保),尔后属城厢镇。1951年建"
xianzhi,p-0103,联保,"(五里子)与老场(北斗山西麒》相距五里,故名。1934年10月红四方面军在五里场建立乡苏维埃。1935年5月后属五里乡(","〉当时五里场西半街及任家沟为阅中县属地。1951年建政时将属阆中的部分地域划入芯溪,同时将五峰乡的插花、三清、蚕丝三村和城厢镇的八字、古梁两村划出,成立五里乡。1958年改为五里人民公社。1984年复名五里乡,全乡面积31.13平方公里,辖紫练、柏树、皇观、石家坝、紫云、张王、插花、粉壁垭、云台、九井、文笔11村。云峰乡“位于县治东11公里处。驻地今云峰场。康熙《苍溪县志}:“河东大路,松雍肃公虞允文治蜀,遇急紧军情星举火,夜燕灯以相通“。本名烟峰。后又其地有高入云端的山峰,改名云峰。1934年红四方面军在炯峰楼、韩家坪分别建立区、乡苏维埃。解放前夕属五峰乡。1951年成立云峰乡。1958年改为云峰人民公社。1984年复名云峰乡。全乡面积38.49平方公里,辖界牌、民合、韩家坪、陈石、北门、紫阳、东柏、虎背、鼓铜、狮岭、华盖、青盐、桅杆13村。六槐乡位于县治东北14公里处,驻地今槐树驿。因"
xianzhi,p-0104,联保,"岩3。后因嘉陵江水过此回旋,改称回水坝,故名。1934年10月红四方面军在回水场建立乡苏维埃。1935年5月后属回水乡(",")。1951年成立回水乡。1958年改为回水人民公社。1984年复名回水乡。全乡面积21.76平方公野,辖红旗桥、太峰、陈家沟、回水、扑船、沙溪、李花沟、钟家浩8村。庙垭乡位于县治地西北11公里处。驻地今庙子垭,因有明代古刹,故名,清宣统二年起先后为城区、一区所辖,民国26年起城厢乡、城厢镇辖。解放初分属回水、镇水、东青乡,1952年后属望水乡。1961年成立庙垭人民公社.1984年改名庙垭乡。全乡面积36.4平方公里,辖拱桥、群峰、许寺、龙溟、东联、石院、群岭、陵江、木林、、望水10乡。东青区东青区位于嘉陵江西岸、县治地西南14公里处.因区驻地东青场故名,唐青山镇辖,宋、元、明至清道光年间属桂花乡,光绪元年(1875)属南路总保,宣统二年(1910)至民国24年属东岳乡。1935年红四方面军渡过嘉陵江后建立东岳、马桑两个区苏维埃。民国24年5月后属一区。1950年为第二区。1955年改名"
xianzhi,p-0105,联保,"“90,苍溟县志怜乡(",")。1951年成立八庙乡,1958年改为八庙人民公社。19841年复名八庙乡,全乡面积38.68平方公里,辖玉树、和平、王容口、瑚琏、青春、余家沟、举台、涧溪、唐家坪、方斗、新岭、龙岭、七树13村。禅林乡位于县治西南2公里处,驻地今禅林场,因有宋代佛教禅宗派系的大寺院禅林寺,故名。宋、元、明、清属桐花乡,清未属南路总保、东岳乡。1935年4月红四′方面军分别在单子坝、青山观建立乡苏维埃。同年5月以后,属东青乡(联保)。1951年成立禅林乡。1958年改为禅林人民公社。1984年复名禅林乡,全乡面积36.2平方公里,辖卧云、大碧、洛水、松林、铃旗、青山观、武陵、潜力、鹤鸣、红阳、明阳、苍城12村。白桥乡“位于县治西北28公里处,驻地白桥坝。因龙门沟阻隔行人,民国9年(1920)百户人家集资修一桥,名百桥,后易“百“为“白“,故名。清代和民国时期属昭化县。1935年4月红四方面军在白桥坝、石城"
xianzhi,p-0106,联保,"今五龙场,以其地五山形若奔龙,故名。1933年8月红四方面军在五龙场和龙隐寺分别建立乡苏维埃。民国24年5月后为五龙乡(",").1951年成立五龙乡.1958年改为五龙人民公社。1984年复名五龙乡,全乡面积64.14平方公里,辖五里、石板、新梁、九燕、玉顶、灯照、龙隐、平安、青几、印盒、天池、大树、三会、双树、马虹15村。白鹤乡“位于县治北19公里处,驻地今白鹤铺,因地处古驿道白鹤铺,故名。1933年9月红四方面军在新店子建立乡苏维埃。民国24年5月后分属五龙、伏公两乡(联保).1951年成立白鹤乡。1958年改为白鹤人民公社.1984年复名白鹤乡,全乡面积33.41平方公里,辖白鹄、工农、柳池、杨河、柏萍、上游、白马、新店、星火、喻李、五显11村。“茶店乡“位于县治北17公里处,驻地今白垭场,因清代有白姓人家在山垭开茶店,故名,1934年10月,红四方面军在白家垭建立乡苏维埃。民国24年5月后分属伏公乡、浙水乡(联保)。1951年成立白垭乡。1955年废,分属浙水、伏公,回水三乡辖。1962年恢复原乡规模成"
xianzhi,p-0107,联保,",传为“龙王居所“,并建有龙王庙,故名。1933年9月,红四方面军在桥沟、柳树湾建立乡苏维埃。民国24年5月后为龙王乡(",")。1951年建政成立龙王乡。1958年改为龙王人民公社。1984年复名龙王乡。全乡面积46.64平方公里,辖田家坝、九龙、三房沟、市场、健康、箭口、凉溪、伍家垭、钟山、洛阳、陡嘴、清水、大房沟13村和1居民委员会。两河乡位于县治北49公里处,驻地今两河口、因地处园滩河。石板河交汇处,故名。解放前分属三川、龙王两乡。1951年成立两河乡,1955年废。1962年恢复为两河人民公社。1984年复名两河乡,全乡面积37.49平方公里。辖两河、建新、友谊、歇台、永“胜。五台六村。三川乡“位于县治北41公里处,驻地今三川寺。因地处柏溪河、箭口河、史家河交汇处,故名。1933年9月红四方面军在三川寺建区苏维埃,在龙泉湾、并湾和刘家岩建乡苏维埃。民国24年5月后为三川乡(联保)。1951年建政成立三川乡。1958年改为三川人民公社。1984年复名三川乡。全乡面积33.01平方公里,辖川河、龙泉、景光、"
xianzhi,p-0108,联保,"庙,后毁,清道光年间新修观音庙并兴场,故名。1933年9月红四方面军在马家湾建立区、乡苏维埃。民国24年5月后建新观乡(","。1951年成立新观乡。1958年改为新观人民公社。1984年复名新观乡。全乡面积51.6平方公里,辖向阳、轿顶、荀英、山花、五柏、天宝、星桥、玲珑、伏龙、梓潼10村。雍河乡位于县治地北67公里处,驻地今马桑坝。明末,一雍姓人在此开店经商,后兴市成场,称为雍家河,故名。1933年9月红四方面军在白云庵、徐家坪建立乡苏维埃。民国24年5月后建雍河乡(联保)。1951年成立雍河乡。1958年为雍河人民公社。1984年复名雍河乡,全乡面积45.74平方公里,辖高家岩、松光、二郎、花坪、桃园、甘家沟、白云、石牛、乐园9村。岐坪区歧坪区位于县治东北45公里处。因区驻地蚩坪场故名,其地上古为平州国属地。宋、元、明土清道光年间先后属歧坪镐、全信乡。清光绪元年属东路总保。宣统二年至民国22年分属王渡镇、元坝镇。1933年6月,红四方面军在白庙建立区苏维埃(隶长池县)。民国24年5月后属二区。34年区废,3"
xianzhi,p-0109,联保,"年后分别属全信乡、东路总保,宣统二年起属岳滑乡。1933年6月红四方面军在青狮子建立乡苏维埃.民国24年5月后属岳东乡(",")。1951年成立文林乡。1958年改为文林人民公社。1984年复名文林乡。全乡面积23.97平方公里,辖文坪、神马、新华、两利、太阳、合力、天山、文水、双柏、′勇士10村。′烟峰乡“位于县治东北64公里处,驻地今傅家暨。因一山高峰挺拔,烟云绍绕,称烟峰山,故名。清道光二十年后分别属全信乡、东路总保、宥统二年起属王渡镇。1933年6月红四方面军在烟峰山、琳琅山建立乡苏维埃。民国24年5月后先属白庙乡(联保)后属歧白乡。1951年成立烟峰乡。1958年改为烟峰人民公社。1984年复名烟峰乡。_全乡面积26.75平方公里,辖青岗、通木、紫荆、土堡、亮垭、琳山、宝盐、洪山、凉水、大碑10村。白驿乡“位于县治东北55公里处,驻地今白庙场,因其地古为白马驿,南梁时在此建白马县,西魏恭帝二年置白马郡,故名。1933年6月红四方面军在白庙场、池口垭建区、乡苏维埃。民国24年5月以后先属白庙乡(联保),后"
xianzhi,p-0111,联保,"1070米的高坡上,清代称高坡子,故名。1933年10月红四方面军在高坡场建立乡苏维埃。民国24年5月后属四区、口黄乡(",")。1951年成立高坡乡。1958年改为高坡人民公社。1984年复名口坡乡。全乡面积41.36平方公里,辖双凤、童家、柏木、严家、松岷、黄荆、土寨、清庙、红岩、苍湾、大坝、竹林、梨树13村。龙洞乡位于县治东北105公里处,驻地今回龙场。因其地有龙洞湾,故名。1933年10月红四方面军在茅坪、柳溪建立乡苏维埃。民国24年5月后属四区、高黄乡(联保2。1951年成立回龙乡,1955年废。1962年从高坡、黄猫乡划出部分大队成立回龙人民公社。1981年更名龙洞公社。1984年改名龙洞乡。全乡面积40.97平方公里,辖回龙、棋盘、大元、远景、茅坪、后河、柳溪、柳河、普济9村。石灶乡“位于县治东北77公里处,驻地今石灶场.因其地有巨石,其形若灶,故名。清宣统二年起东溪乡辖。1933年10月红四方面军在团包梁建立乡苏维埃。民国24年5月后先后属四区、石桥联保、东石乡。1951年成立石灶乡。1958年改"
xianzhi,p-0112,联保,"年起属王渡镇.1933年9月红四方面军在三堆石建立乡苏维埃.次年10月在观音寺建立乡苏维埃。民国24年分属王渡、元坝乡(","),后为中土乡,34年属元中乡。1951年成立中土乡。1958年改为中土人民公社。1984年复名中土乡。全乡面积33.51平方公里,辖裕华、元宝、大坪、桥溪、板庙、罐山、麻溪浩、人和、白溪、五马、三岔沟、裕兴12村。王渡乡位于县治东20公里处,驻地今王渡场.图清代一王姓秀才赴考,经此逼洪水所阻,船夫冒险摆渡过江,后高中,施钱财改为义渡,名王渡,故名。明洪武十四年大获乡辖.清宣统二年属王渡镇辖.1934年10月红四方面军在铜鼓山建立乡苏维埃.民国34年分属五峰乡、元中乡。1951年成立王渡乡。1958年改为王渡人民公社。1984年复名王渡乡。全乡面积23.87平方公里,辖大获、响水、木梁、金石、铜数、会民、赤土垭、逛花、马石、桂花10村。|金璧乡位于县治东北37公里处,驻地今杨家域塔。因境有金壁山,故名。清宣统二年分属王渡、元坝镇。1934年属一乡苏维埃.民国24年5月后属元坝乡(联保)。1"
xianzhi,p-0113,联保,"此唤受惊之马,故名。清宣统二年分属元坝镇、三川乡辖。1934年10月分属玉台山、石门韩家河苏维埃。民国24年起属唤马乡(","),。1951年成立唤马乡。1958年改为唤马人民公社。1984年复名晦马乡。全乡面积35.8平方公里,辖鱼塌、石顶、龙台、黑山、龙口、云龙、彭城、大林、瓦店、红金、庙梁、金刚12村。石门乡“位于县治地东北32公里处,驻地今石门场。因江中巨石横卧,船行受阻,如门关闭,故名。清宣统二年分属三川乡、元坝镇。1934年10月红四方面军在七星庙、韩家河建立乡苏维埃。民国24年属五区,34年属三川乡,37年属石唤乡。1951年成立石门乡。1958年改为石门人民公社。1984年复名石门乡。全乡面积32.91平方公里,辖龙水、七星、三林、中梁、铧山、插江、寨包、金城、碑沱、珠江、银城、金鹰、文家角13村。.龙山区龙山区位于县治东北95公里处,因区驻地龙山场故名。宋、元、明至清道光年间,分属龙山镇、帝简镇。清光绪元年北路总保辖。宣统二年至民国22年属龙山乡。1933年6月红四方面军在龙山场建立区苏维埃,民"
xianzhi,p-0114,联保,",故名。清宣统二年起龙山乡辖。1933年6月红四方面军在荷林垭、文庙垭建立乡苏维埃。民国24年6月至38年先后属龙彭乡(",")、双龙乡,部分属文运乡。1951年成立柏杨乡。1955年茨林乡并入仍为柏杨乡。1958年改为柏杨人民公社。1981年复名柏杨乡。全乡面积27.84平方公里,辖美福、柏杨、凉桥、金虎、宝宁、田坝、团结、塘山、桂阳、分水、茨林11村。,河地乡“位于县治东北105公里处、驻地今两河口。因境有两河口、地干寺,各取一字,故名,清宣统二年起属龙山乡。1933年6月红四方面军在两河口建立乡苏维埃.民国24年6月至33年属双河乡(联保),后分属双龙、白庙、文运乡。1951年成立双河乡、地干乡。1953年两乡合并为河地乡。1958年改为河地人民公社。1984年复名河地乡。全乡面积32.9!平方公里,辖高坪、晨光、地二、白山、琳琅、何家梁、红树、天主、玉宝、中华、茂兴、金马、石龙、庄子14村。.两溪乡位于县治东北103公里处,驻地今双河场。因地处谯家河、柏树滩汇合处,故名,清宣统二年起属龙山乡。1933年6"
