book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,公安,p-0308,"命“中的1972年,县设收容所。除收容游民外,还对","部门清查出来路不明的、有违法活动又不够法办的人员进行收容遣送,年均收容遣送约600人次。1978年后,只对农村流入城镇街头乞讨的和其他露宿街头,生活无着的人进行收容,年收容约200人次。他们之中多为痴呆、残废人、精神病患者和顽劣儿童。1987年收容145人,经清查、其中以乞讨为生"
xianzhi,A,法办,p-0308,"外,还对公安部门清查出来路不明的、有违法活动又不够","的人员进行收容遣送,年均收容遣送约600人次。1978年后,只对农村流入城镇街头乞讨的和其他露宿街头,生活无着的人进行收容,年收容约200人次。他们之中多为痴呆、残废人、精神病患者和顽劣儿童。1987年收容145人,经清查、其中以乞讨为生的占35%,智力低下者占5%,有违法行为的"
xianzhi,A,死亡,p-0308,"年,苍溪县调集民兵参加修筑襄渝铁路。在筑路中,因公","14"
xianzhi,A,死亡,p-0309,",按本人月工资的10一60%作为应发的伤残补助费和","抚代金,并向四川省一次性拨足10年(1973一1982年)经费每年由民政局代发给有关享受人员。1983年以后,改由县财政拨发。1990年享受补助对象减至56人。起义、投诚、宽释人员救济1982年,根据中央正确处理历史遗留问题的指示精神,、对原国民党的起义、投诚和宽大释放人员(党、"
xianzhi,A,处理,p-0309,"。起义、投诚、宽释人员救济1982年,根据中央正确","历史遗留问题的指示精神,、对原国民党的起义、投诚和宽大释放人员(党、政、军、特)给予社会救济,对其因“左“的错误造成非正常死亡人员的遗尸给予补助,对生活有困难的人员给予定期定量补助。第四章“社会福邓|第一节“福利事业慈善事业清康熙初年,在县城西察外设养济院,收养鳕寡孤独及残废无靠"
xianzhi,A,国民党,p-0309,"年,根据中央正确处理历史遗留问题的指示精神,、对原","的起义、投诚和宽大释放人员(党、政、军、特)给予社会救济,对其因“左“的错误造成非正常死亡人员的遗尸给予补助,对生活有困难的人员给予定期定量补助。第四章“社会福邓|第一节“福利事业慈善事业清康熙初年,在县城西察外设养济院,收养鳕寡孤独及残废无靠之人。经费在丁条粮银项下支拨。道光二"
xianzhi,X,审查,p-0309,"94。苍溪县志人,因公负伤致残51人。经铁道兵部队","批准,按本人月工资的10一60%作为应发的伤残补助费和死亡抚代金,并向四川省一次性拨足10年(1973一1982年)经费每年由民政局代发给有关享受人员。1983年以后,改由县财政拨发。1990年享受补助对象减至56人。起义、投诚、宽释人员救济1982年,根据中央正确处理历史遗留问"
xianzhi,A,会议,p-0311,"1日苍溪县残疾人联合会成立。残疾人联合会第一次代表","选举产生联合会主席团主席和副主席及委员;选举残联常设机构一一执行理事会实行理事长负责制。残联属事业性团体,挂靠县民政局。1990年4月县民政局和县残联对新观乡残疾人工作进行调查和总结,县政府办公室通知全县各级学习、贯彻新观乡关心残疾人的做法,《四川残疾人》杂志1990年第二期刊载"
xianzhi,A,法院,p-0312,"子女合法权益的新婚娇、家庭制度。1952年县民政、","、妇联、团委随川北行署工作组深入乡村,召开各种会议,利用逢场天办申尺,演文艺节目,宣传新的婚姻法,批判旧的婚姻制度,同时惩办虐杀妇女、儿童的罪犯。1953年3月,县委、县政府召开县、区、乡363名干部参加的学习婚姻法,部署开展“婚姻法宣传月“活动会议。此后,结合婚姻登记继续进行宣"
xianzhi,A,会议,p-0312,"法院、妇联、团委随川北行署工作组深入乡村,召开各种",",利用逢场天办申尺,演文艺节目,宣传新的婚姻法,批判旧的婚姻制度,同时惩办虐杀妇女、儿童的罪犯。1953年3月,县委、县政府召开县、区、乡363名干部参加的学习婚姻法,部署开展“婚姻法宣传月“活动会议。此后,结合婚姻登记继续进行宣传。1980年,第二部婚姨法公布后,县委宣传部、县"
xianzhi,A,惩办,p-0312,"演文艺节目,宣传新的婚姻法,批判旧的婚姻制度,同时","虐杀妇女、儿童的罪犯。1953年3月,县委、县政府召开县、区、乡363名干部参加的学习婚姻法,部署开展“婚姻法宣传月“活动会议。此后,结合婚姻登记继续进行宣传。1980年,第二部婚姨法公布后,县委宣传部、县司法局等6单位联合编发《宣传新婚姻法,提倡婚事新办》宣传提纲,利用各种宣传"
xianzhi,A,杀,p-0312,"节目,宣传新的婚姻法,批判旧的婚姻制度,同时惩办虐","妇女、儿童的罪犯。1953年3月,县委、县政府召开县、区、乡363名干部参加的学习婚姻法,部署开展“婚姻法宣传月“活动会议。此后,结合婚姻登记继续进行宣传。1980年,第二部婚姨法公布后,县委宣传部、县司法局等6单位联合编发《宣传新婚姻法,提倡婚事新办》宣传提纲,利用各种宣传工具"
xianzhi,A,村民,p-0313,"离婚仍由区办理。婚姻登记由婚姻当事人双方,持户口和","(居民〉委员会(或工作单位)关于婚姻状况的证明(离婚的填登记表,到一方户口所在地的婚姻登记机关申请.登记机关经审查符合条件、即登记发给结婚证或离婚证。1985年将婚姻登记人员集中到县训练,经考试合格发给《婚姻登记员证书》后,才准予负责婚姻登记工作。1986年6月1日执行新的婚婪登"
xianzhi,A,死亡,p-0313,"升到270其,1989年上升到375具,火化率突破","人数的7%。"
xianzhi,X,审查,p-0313,"表,到一方户口所在地的婚姻登记机关申请.登记机关经","符合条件、即登记发给结婚证或离婚证。1985年将婚姻登记人员集中到县训练,经考试合格发给《婚姻登记员证书》后,才准予负责婚姻登记工作。1986年6月1日执行新的婚婪登记办法,婚姻当事人凭《居民身份证》即可申请登记。1989年县民政局推广龙山区各乡婚姻登记七到场(分管婚姻登记的乡干"
xianzhi,X,训练,p-0313,"给结婚证或离婚证。1985年将婚姻登记人员集中到县",",经考试合格发给《婚姻登记员证书》后,才准予负责婚姻登记工作。1986年6月1日执行新的婚婪登记办法,婚姻当事人凭《居民身份证》即可申请登记。1989年县民政局推广龙山区各乡婚姻登记七到场(分管婚姻登记的乡干部、民政干部、共青团、妇女干部、办公室文书、申请登记的男女双方到场)办法"
xianzhi,A,复查,p-0314,"90年10月县政府成立整顿社团领导小组,通过整顿和","登记、对合法的孙以确认,维护其合法权益。通过自查整顿,复查登记,认可的各类社会团体138个(县级社会团体67个,区、乡各类社会团体71个),其中学术性团体9个,专业性团体114个,行业性团体13,个,联合性团体2个,已被核准登记注册。"
xianzhi,A,民团,p-0316,"业、饮食服务,文教、卫生、科技、金融、党政机关和人","体等各业。1953年22.23万社会劳动力中,农业占98.835%;工业占0.11%;交通运输邹电业占0.035%;商业饮食服务业占0.15%;文教卫生事业占0.41%;金融业占0.045%;国家机关和人民团体占0.43%。1956年完成农业、个体手工业、私营工商业的社会主义改造"
xianzhi,A,国民党,p-0317,"失业人员147人,其中工人23人、知识分子73人、","军官15人、旧政权职员16人、小商贩8人。结合调查登记工作,安置63人。并不准私苑工商业者,随便解雄工人,避免新的失业产生。对于一时难以安置的少数人,组织生产自救或以工代赈安排生活出路。至1956年的7年间共安置失业、待业人员1719人。并对1950年起进城谋生农民82人动员还乡"
xianzhi,A,旧政权,p-0317,"其中工人23人、知识分子73人、国民党军官15人、","职员16人、小商贩8人。结合调查登记工作,安置63人。并不准私苑工商业者,随便解雄工人,避免新的失业产生。对于一时难以安置的少数人,组织生产自救或以工代赈安排生活出路。至1956年的7年间共安置失业、待业人员1719人。并对1950年起进城谋生农民82人动员还乡分给土地。至此,失"
xianzhi,A,死亡,p-0318,"致使1973一1975年无法招工,只对退职、退休、","职工子女补员招工100人。1977年全县有城镐待业人员1385人急待安置。这年成立苍溪县城镇待业人员安置领导小组,本着发展集体经济,兴办街道工业、交通运输业和商业服务业,组织起来从事集体生产劳动的安置原则,安置1151人,其中包括安置下乡知青855人。1978年安置1014人,其"
xianzhi,A,死亡,p-0320,"准返城待业495人。至1981年止,下乡“知青“除","13人、失踪1人、判刑劳教54人、自愿在农村长期落户7人外,全部安置完毕。历时15年的知青工作至此结束。第三章“职-一.第一节十“部民国时期,县长由省府避籍简任或委任,县政府秘书、科长、区长、处长、警察局长由县长昌报省批准委任,其余公务人员由县长委任或雇用.民国24一29年县政府"
xianzhi,A,判刑,p-0320,"1981年止,下乡“知青“除死亡13人、失踪1人、","劳教54人、自愿在农村长期落户7人外,全部安置完毕。历时15年的知青工作至此结束。第三章“职-一.第一节十“部民国时期,县长由省府避籍简任或委任,县政府秘书、科长、区长、处长、警察局长由县长昌报省批准委任,其余公务人员由县长委任或雇用.民国24一29年县政府6科、1!处,配备公务"
xianzhi,A,甲长,p-0320,"公处、保国民学校,职员1637人;第三级下属机关;","办公处3153人。1950年1月县人民政府成立后,上级委派南下干部16人、中共原地下党干部6人,共22人开展工作。年末全县共有干部617人,其中上级委派解放军干部20人、南下干里部20人、中共原地下党干部12人、原解放委员会成员和民主人士40人、选拨社会知识青年280人、留用原国"
xianzhi,A,征粮,p-0320,"0年初,经短期培训吸收青年知识分子280人,接着在","、巢匪、清匪反霸斗争中提拔工人干部14人、农民干部207人,形成人民政权基本骨干力量。1951一1953年,通过土地改革锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,匪,p-0320,"经短期培训吸收青年知识分子280人,接着在征粮、巢","、清匪反霸斗争中提拔工人干部14人、农民干部207人,形成人民政权基本骨干力量。1951一1953年,通过土地改革锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,清匪,p-0320,"期培训吸收青年知识分子280人,接着在征粮、巢匪、","反霸斗争中提拔工人干部14人、农民干部207人,形成人民政权基本骨干力量。1951一1953年,通过土地改革锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,反霸,p-0320,"训吸收青年知识分子280人,接着在征粮、巢匪、清匪","斗争中提拔工人干部14人、农民干部207人,形成人民政权基本骨干力量。1951一1953年,通过土地改革锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,斗争,p-0320,"收青年知识分子280人,接着在征粮、巢匪、清匪反霸","中提拔工人干部14人、农民干部207人,形成人民政权基本骨干力量。1951一1953年,通过土地改革锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,土地改革,p-0320,"成人民政权基本骨干力量。1951一1953年,通过","锻炼,川北人民革命大学、省地委党校、县党训班短期培训,陆续从工人、"
xianzhi,A,公安,p-0321,"夜大毕业生、高中生及待业青年中招收124人,补充到","、检察、法院、司法局、工商局、税务局、银行等单位。聘用为适应社会主义现代化建设需要,1984年县人事部门实行“面向社会、公开报名,经过考试,择优录取招聘干部“制度,聘用时间3年。这年从农村招聘干部307人,补充区、乡财政、教师、计划生育、金融等部门。1985一1990年,在“五大"
xianzhi,A,法院,p-0321,"高中生及待业青年中招收124人,补充到公安、检察、","、司法局、工商局、税务局、银行等单位。聘用为适应社会主义现代化建设需要,1984年县人事部门实行“面向社会、公开报名,经过考试,择优录取招聘干部“制度,聘用时间3年。这年从农村招聘干部307人,补充区、乡财政、教师、计划生育、金融等部门。1985一1990年,在“五大“毕业生、职"
xianzhi,A,反革命,p-0326,"分的人“文化大革命“中的“三种人“(追随林虔、江青","集团造反起家的人,帮派思想严重的,打硬抢分子)暂不升级,待一年后再评定。企业调资实行“两挂钩“、“一浮动“,即工资与企业效益挂钩,与职工个人劳动成果挂钩;改固定升级为浮动升级。此次调资,应调15211人,升级11572人,占应调整人数76.085%,其中升两级1597人,占升级人"
xianzhi,A,乡长,p-0326,"0元,副局(科》、区长29一63.5元,主办科员、","23.5一55.5元,科员、区助理员,副乡长11.5一41元;机关工人执行1一10级岗位工资标准,工资11.5一71元.工龄工资按工作年限,每满1年加发0.5元计算。奖励工资7元。初步理顺工资关系。行政、事业单位职工6791人,参加工改6690人。工改前人平月工资58.97元,经"
xianzhi,A,副乡长,p-0326,"办科员、乡长23.5一55.5元,科员、区助理员,","11.5一41元;机关工人执行1一10级岗位工资标准,工资11.5一71元.工龄工资按工作年限,每满1年加发0.5元计算。奖励工资7元。初步理顺工资关系。行政、事业单位职工6791人,参加工改6690人。工改前人平月工资58.97元,经调整地差和工改,人平月增资20.51元。招聘"
xianzhi,A,村民,p-0327,"月工资19.26元。城镇民办教师按公办教师工改,农","办教师实行基本工资加教龄补贴,1982年底以前任教的增加基本工资10一12元,1982年以后任教的增加6一8元,工改后人平月增资9.57元。1986年机关、事业单位解决部分工资偏低人员工资,有1036|人升级,人平月增资6.56元。为完善企业工资制度,搞好内部分配,1740名全民"
xianzhi,A,公安,p-0329,"坏,发12一17元。值勤岗位津贴1987年1月起,","部门担任治安、侦察、交通安全、监所看守干警及在劳改、劳教等队以下单位工作的干警,值勤或办案时每人每天发给津贴5角,其他干警参加值勤、办案的每人每天发给津贴4角。"
xianzhi,A,劳改,p-0329,"公安部门担任治安、侦察、交通安全、监所看守干警及在","、劳教等队以下单位工作的干警,值勤或办案时每人每天发给津贴5角,其他干警参加值勤、办案的每人每天发给津贴4角。"
xianzhi,A,反对,p-0330,"服务人员2元、一般十部1.5元。1966年4月,“","物质刺激“,将活工资计入月工资,将年终奖改为年终加发活工资。1966年开始的“文化大革命“中,把过去正确的作法视为资本主义产物进行批判并取消。1978年9月首先在印刷厂、电厂、农机一、二厂、粮食机修厂、歧坪、龙山粮站、文昌、城郊供销社、县中药材、石油、五交化公司等13个经济效益好"
xianzhi,A,处理,p-0331,"月发给。1958年起执行国务院《关于工人、职员退休","的暂行规定》,男职工年满60周岁,连续工龄5年,一般工龄20年;女工人年满50周岁,女职员年满55周岁,连续工龄5年,一般工龄15年,退休后按月发给本人工资50一70%的退休费。男年满50周岁,女年满45周岁,连续工龄5年,一般工龄15年,身体裙骏丧失劳动力,经劳动鉴定委员会鉴定"
xianzhi,A,死亡,p-0332,"国苑企业离休、退休、退职职工离退休退职费、补助费、","丧葬补助费、因工致残护理费实地统筹统管统支。全年共筹集退休养老基金11.03万元,合同工养老金19.27万元。发放离退休费8.88万元.1988年起,定“九,九“重阳节,为“敬老节“,开展对离退老人的慕问活动。1990年末,全县共有离休干部85人、退休职工3654人。企业职工73"
xianzhi,A,死亡,p-0333,"0.2万元,医疗补助费54元。“职工疯、伤、产假和","待遇病伤假1951年起企业职工连续病假6个月以内、按工龄计发本人工资60一100%;连续病假6个月以上发40一60%。1986年改为停工治疗6月个月以内。工龄不满10年的发70%;满10年不满20年发80%,满20年不满30年发90%,30年以上发95%,停工治疗6个月以上,连续"
xianzhi,A,不满,p-0333,"一60%。1986年改为停工治疗6月个月以内。工龄","10年的发70%;满10年不满20年发80%,满20年不满30年发90%,30年以上发95%,停工治疗6个月以上,连续工龄不满10年发60%;不满20年发655%;20年以上发70%5。1955年起,国家机关工作人员连续病假6个月以内,从第二个月起,按工作年限发给本人工资70一1"
xianzhi,A,死亡,p-0334,"元,农村20一25元。1988年抚付费改为一次发给","者生前本人工资10个月,不足500元补足500元,11月再改为死者生前15个月工资,家属生活困难补助调整为:县城30一35元、场镇25一30元、农村20一25元。职工因病或非因工死亡,按供养人口多少一次发给死者生前本人标准工资6一12个月,1988年改为发给本人标准工资5个月,不"
xianzhi,A,处理,p-0334,"保健食品。1951年起建立企业按月报告职工伤亡事故","制度。1952年处理元坝伐木二厂伤亡事故13件,对新建私营民成工厂多次组织安全生产大检查。1958年全民大办工业,片面追求生产指标、事故不断发生,县人委不断调整工业部局,撒销一些不合格的新建厂,事故下降。"
xianzhi,A,大会,p-0335,"959年6月,成立县安全生产五人小组,7月召开职工",",宣传贯彻安全生产法规。建立安全生产大检查制度。各厂矿企业对在炎热季节、高温、露天作业工人实行调1整工作时间、调整人员、充实降温设备,供应清凉饮料等措施,以后每年形成制度。1960年开展“十防一灭“(防撞车翻车、坍塌、爆炸、触电、中毒、粉尘、火灾、水淹、烧烛、坠落)活动,查出隐患"
xianzhi,A,处理,p-0335,"厂矿企业劳动保护条例)》:《四川省厂矿劳动监寡违章","办法》,培训宣传员35人.翌年办劳动保护训练班11期,培训职工331人,并对企业领导、工人、干部进行劳动安全考试。1986年春运期间,组织局级以上干部对全县渡口及各种车辆进行安全检查,纠正违章车输,整改水上隐患,被广元市评为春运安全先进县。这年举办驾驶员、电工、锅炉工安全培训班1"
xianzhi,X,训练,p-0335,"寡违章处理办法》,培训宣传员35人.翌年办劳动保护","班11期,培训职工331人,并对企业领导、工人、干部进行劳动安全考试。1986年春运期间,组织局级以上干部对全县渡口及各种车辆进行安全检查,纠正违章车输,整改水上隐患,被广元市评为春运安全先进县。这年举办驾驶员、电工、锅炉工安全培训班12期,培训1596人。1988年起,把劳动安"
xianzhi,A,法院,p-0337,"1950一1952年,正副县长、正科(局)、区长、","院长、公司经理,由川北行政公署管理、任免;副科(局)、区长、法院副院长、副经理、公安局秘书和正副股长,由剑阁专署管理,任免;正副乡(镇》长,由县政府管理、任免,1953年起,正副县长由四川省政府管理、任免;正副科(局〉长、区长、法院正副院长、正副检察长,由专署管理、任免;正副乡("
xianzhi,A,公安,p-0337,"管理、任免;副科(局)、区长、法院副院长、副经理、","局秘书和正副股长,由剑阁专署管理,任免;正副乡(镇》长,由县政府管理、任免,1953年起,正副县长由四川省政府管理、任免;正副科(局〉长、区长、法院正副院长、正副检察长,由专署管理、任免;正副乡(镇〉长由县政府管理,任免。1955年县、乡人民代表大会选举产生的正副、县长、法院院长"
xianzhi,A,大会,p-0337,"镇〉长由县政府管理,任免。1955年县、乡人民代表","选举产生的正副、县长、法院院长,正副乡(镇)长,只报省、县人民委员会备案;正副科(局)级干部县人委任命报专署备案。1958年起执行《县以上人民委员会任免国家机关工作人员条例),县人民委员会正副科、局长、主任、法院院长(县人民代表大会选举)、区长、经理、校长及相当职位的人员由县人民"
xianzhi,X,训练,p-0338,"全民、集体工商业企业工人日益增多,各企业札取办业余","班、岗位练兵、以会带训,以老带新等方式,提高工人文化、技术和职业道德水平。1979年工作重点转移到社会主义现代化建设上,工商企业调整布局,工人成倍增加。为适应现代化建设需要,县成立取工教育委员会,抓职工“双补“(文化、技术补课)和文化进修。各企业亦相应成立管理组织。1980年县丝"
xianzhi,A,征粮,p-0339,"千部阶级立场,树立无产阶级观点,先后举办春节宣传、","、减租退押、清匪反霸等各种学习班,培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文"
xianzhi,A,减租,p-0339,"级立场,树立无产阶级观点,先后举办春节宣传、征粮、","退押、清匪反霸等各种学习班,培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。6"
xianzhi,A,退押,p-0339,"场,树立无产阶级观点,先后举办春节宣传、征粮、减租","、清匪反霸等各种学习班,培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。60年"
xianzhi,A,清匪,p-0339,"立无产阶级观点,先后举办春节宣传、征粮、减租退押、","反霸等各种学习班,培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。60年代转为"
xianzhi,A,反霸,p-0339,"产阶级观点,先后举办春节宣传、征粮、减租退押、清匪","等各种学习班,培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。60年代转为各部"
xianzhi,X,学习班,p-0339,",先后举办春节宣传、征粮、减租退押、清匪反霸等各种",",培训1654人。1951年县干部训练班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。60年代转为各部门自办文化班"
xianzhi,X,训练,p-0339,"反霸等各种学习班,培训1654人。1951年县干部","班成立,分批轮训千部1896人、开办党建班,陆续训练党建、政权建设骨干,8月,县培训农村基层干部982人。1955年县级机关干部110人进行业余文化补习。1956年在苍中校开办扫盲班、高小班,组织区、乡干部学文化。60年代转为各部门自办文化班,“文化大革命“开始后终止。1975年"
xianzhi,A,处理,p-0340,"2.5月本人标准工资的生活补助费;老职工按退职退休",",并发给职工本人及随行家属升旅费、途中伙食补助费,口粮供应至小春或大春产新止,并发给“光荣回乡证书“。第六节“行政监察民国时期,国民政府颁布有《盎察法》、《惩治贪污条例}、《奖惩条例》等行政监察法规。民国27年(1938)年,二区区长黄昭忠“疏于监守、遗失赉款“,被撒职究办。34"
xianzhi,A,反对,p-0340,"作人员业务与工“作作风进行监察。在反贪污、反浪费、","官僚主义运动中,处理贪污及违法乱纪干部49人,其中判刑9人、劳动改造3人、机芝管制8人、开除回家2人、劝其回家6人,撒职、降职、记过21人。1955年9月撒销监委、监察职能由人事科代行。1957年“整风反右“运动中,扩大了打击面,处理干部124人,其中下放劳动锻炼33人、开除工作"
xianzhi,A,判刑,p-0340,"官僚主义运动中,处理贪污及违法乱纪干部49人,其中","9人、劳动改造3人、机芝管制8人、开除回家2人、劝其回家6人,撒职、降职、记过21人。1955年9月撒销监委、监察职能由人事科代行。1957年“整风反右“运动中,扩大了打击面,处理干部124人,其中下放劳动锻炼33人、开除工作劳教13人,开除工作回家45人、留机关工作监督改造21"
xianzhi,A,管制,p-0340,"法乱纪干部49人,其中判刑9人、劳动改造3人、机芝","8人、开除回家2人、劝其回家6人,撒职、降职、记过21人。1955年9月撒销监委、监察职能由人事科代行。1957年“整风反右“运动中,扩大了打击面,处理干部124人,其中下放劳动锻炼33人、开除工作劳教13人,开除工作回家45人、留机关工作监督改造21人。逢捕法办12人。1959"
xianzhi,A,法办,p-0340,"开除工作回家45人、留机关工作监督改造21人。逢捕","12人。1959年“反右倾“中错处理干部61人,其中开除回家21人、开除留用察看!人、撒职16人、记过和记大过28人,1963年和翌年“四清“运动中处理干部51人,其中开除6人、开除留用12人、撒职3人、记大过和记过24人、法办6人。“文化大革命“中大批领导干部遵批斗,关“牛棚“"
xianzhi,A,错案,p-0340,"县委成立“落实十部政策办公室“,对历次运动中的冤假","进行清理,甄别、平反、纠错,1988年3月,丧监察局成立,至年底,监察局与落实政策办公室共撒销历史老案413件,收回工作262人,补发工资78人,作退休退职处理182人,恢复名能57人,已死亡55人给亲属拱恤,撒销原结论88人,纠正错定为敌我矛盾性质的77人。至1990年,共立案"
xianzhi,A,平反,p-0340,"策办公室“,对历次运动中的冤假错案进行清理,甄别、","、纠错,1988年3月,丧监察局成立,至年底,监察局与落实政策办公室共撒销历史老案413件,收回工作262人,补发工资78人,作退休退职处理182人,恢复名能57人,已死亡55人给亲属拱恤,撒销原结论88人,纠正错定为敌我矛盾性质的77人。至1990年,共立案查处千部违纪57人,"
xianzhi,A,死亡,p-0340,"78人,作退休退职处理182人,恢复名能57人,已","55人给亲属拱恤,撒销原结论88人,纠正错定为敌我矛盾性质的77人。至1990年,共立案查处千部违纪57人,受政纪处分50人,其中警告2人,记过9人、记大过7人、撒职2人、降级3人、开除留用2!人、开除公职6人。清查十部建私房306户,占地2.9万平方米,撒除多建房45户,收回土"
xianzhi,X,审查,p-0340,";1969年“清理阶级队伍“中有485名干部被立案",",1971年开除162人、速捕10人、使大批干部蒙受不白之冤。1979年5月,中共苍溪县委成立“落实十部政策办公室“,对历次运动中的冤假错案进行清理,甄别、平反、纠错,1988年3月,丧监察局成立,至年底,监察局与落实政策办公室共撒销历史老案413件,收回工作262人,补发工资7"
xianzhi,A,不服,p-0341,"调处,调处无效时由县劳动仲裁委员会仲裁,双方或一方","仲裁时,再向人民法院申诉,依法判决。1953年调解劳资纠纷41件、公私关系5件,1956年实现公私合营后,中止劳动争议仲裁业务。1986年10月,恢复仲裁工作,成立苍溪县劳动争议仲裁委员会,受理企业有关开除、除名、辞退违纪职工和履行劳动合同中发生的劳动争议案件,保护企业行政和职工"
xianzhi,A,法院,p-0341,"劳动仲裁委员会仲裁,双方或一方不服仲裁时,再向人民","申诉,依法判决。1953年调解劳资纠纷41件、公私关系5件,1956年实现公私合营后,中止劳动争议仲裁业务。1986年10月,恢复仲裁工作,成立苍溪县劳动争议仲裁委员会,受理企业有关开除、除名、辞退违纪职工和履行劳动合同中发生的劳动争议案件,保护企业行政和职工的合法权益,维护正常"
xianzhi,A,处理,p-0341,"秩序。1987年7月,国务院关于《国营企业劳动争议","暂行规定》颁布后,企业发生履行合同争议时,先由企业调解委员会调解;调解无效时,企业行政或职工向县仲裁委员会申诉,由仲裁委员会实行一次性裁决;不服裁决,15日内向县人民法院起诉。1989年私营企业劳动争议纳入仲裁范围。1990年乡村集体企业劳动争议也纳入仲裁范围。1987一1990"
xianzhi,A,徒刑,p-0341,"期、停薪留职干部、受开除留用察看处分期间、判处有期","缓刑期间和正在立案审查的干部等暂不确定行政职务。机关中从事专业技术的干部确定行政职务后,又受聘专业技术职务时免除行政职务。至1990年共任命行政职务573人,其中主办科员343人、科员151人、办事员79人。"
xianzhi,X,审查,p-0341,"除留用察看处分期间、判处有期徒刑缓刑期间和正在立案","的干部等暂不确定行政职务。机关中从事专业技术的干部确定行政职务后,又受聘专业技术职务时免除行政职务。至1990年共任命行政职务573人,其中主办科员343人、科员151人、办事员79人。"
xianzhi,A,处理,p-0342,",严重违反劳动纪律等情况,制定《工人违反劳动纪律的","暂行办法》,对于擅自离职和请假逾期不归,企业发出通知后一月不返回工作岗位的给予除名;对一贯不避守规章制度,违法乱纪,屡教不改以及一年累计旷工3个月以上的,给子开除或开除留用察看处分,留用期只发生活费30元.这年在贯彻《办法》中,10人受到惩罚,其中降级1人、开除留用察看3人、除名"
xianzhi,A,不满,p-0342,"70分以上为三等,嘉奖;60分以上为四等,不奖惩;","60分为五等,申戒;不满50分为六等,记"
xianzhi,X,审查,p-0342,"、科长、处长、警察局长、司法承审员等考绩报省铨考处","备案。民国27年(1938)县长曾锦柏制定《苍溪县各职员实施奖惩暂行规定》以百分制进行考核。考绩标准:工作50分、学识25分、操行25分,90分以上者为一等、晋级;80分以上者为二等,记功;70分以上为三等,嘉奖;60分以上为四等,不奖惩;不满60分为五等,申戒;不满50分为六等"
xianzhi,A,不满,p-0343,"*328,苍演县志过;","40分为七等,解职。平时考察,实行日记月评,月迟到一、二次免议或申戒,三次扣发工资5%,满日记过一次;无故缺席半日扣发工资2.5%,满日扣55%,满3日开除,纪念周不到一次扣1%,坚守规则发给奖金。这年县政府共扣发工资125.63元,奖励86元。解放后、人民政府对工作人员以思想教"
xianzhi,A,惩办,p-0343,"86元。解放后、人民政府对工作人员以思想教育为主,","为辅,按德、能、勤、缎考核。领导干部侧重政策思想水平、组织领导能力、熠悉业务程度、执行民主集中制状况和工作实效。1950年,县人民政府制定《苍溪县行政工作人员立功标准》,凡工作积极,按时完成任务,生活艰苦朴素,全心全意为人民服务,廉洁奉公,虚心向群众学习,严格遵守各项制度,爱护公"
xianzhi,A,平反,p-0343,"留用察看、开除,这年处分66人。1961年,结合“","“和“社教“运动,对407名干部进行考寡,其中工作积极和思愚品质、工作作风、德才都好的占66.83%,基本能胜任工作的占26.54%;有严重错误的10人,占2.46%;年老体骏,能力差,不能胜任工作占4.18%。1984年,全县党政群团机关、事业单位、区乡(镇)建立工作人员岗位责"
xianzhi,A,斗争,p-0343,"造发明,节约国家资财,防止挽救事故有功,同违法行作","有显著功绩的529人受奖,其中记功5人、授二奖品奖金116人、奖励晋级35人,通令嘉奖和评先进表扬53人;因违反政纪和财经纪律受政纪处分20人。"
