book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,匪,p-0018,"民国22年田赋竞征至民国49年。加之土寡、劣绅、惯","及各种反动会道门头子鱼肉乡里,百姓备受歉凌,民生凉敦。为消除贫困及落后的根源,过去,苍滓人民与地方官府及封建势力进行过无数次英勇斗争。明代陈岗发动农民起义;1925年温全武在东溪、文昌等地组织“红灯教“农民义军;1933年张人权、李开湘、车云海、陈子谦等人先后发动“新观“、“三堆"
xianzhi,A,会道门,p-0018,"赋竞征至民国49年。加之土寡、劣绅、惯匪及各种反动","头子鱼肉乡里,百姓备受歉凌,民生凉敦。为消除贫困及落后的根源,过去,苍滓人民与地方官府及封建势力进行过无数次英勇斗争。明代陈岗发动农民起义;1925年温全武在东溪、文昌等地组织“红灯教“农民义军;1933年张人权、李开湘、车云海、陈子谦等人先后发动“新观“、“三堆石“及“四蛮寨“"
xianzhi,A,斗争,p-0018,"过去,苍滓人民与地方官府及封建势力进行过无数次英勇","。明代陈岗发动农民起义;1925年温全武在东溪、文昌等地组织“红灯教“农民义军;1933年张人权、李开湘、车云海、陈子谦等人先后发动“新观“、“三堆石“及“四蛮寨“农民武装暴动。第二次国内革命战争时期,廖承志、罗世文、张滕、张国烽曾^驻足苍溪;徐向前、王树声、李先念率红四方面军在"
xianzhi,A,清匪,p-0018,"史时期,中共苍溟县委、县人民政府组织和动员人民进行","反霸、减租退押;实行土地改革,侥复和发展生产;开展对农业、手工业和资本主义工商业的社会主义改造,消灭剥削制度,建立社会主义制度;实施有计划的国民经济建设。社会总产值,第一个五年计划时期年均以12.93%的速度增长,第二个五年计划时期年均下降2.79%,第四个五年计划时期每年以5."
xianzhi,A,反霸,p-0018,"期,中共苍溟县委、县人民政府组织和动员人民进行清匪","、减租退押;实行土地改革,侥复和发展生产;开展对农业、手工业和资本主义工商业的社会主义改造,消灭剥削制度,建立社会主义制度;实施有计划的国民经济建设。社会总产值,第一个五年计划时期年均以12.93%的速度增长,第二个五年计划时期年均下降2.79%,第四个五年计划时期每年以5.26"
xianzhi,A,减租,p-0018,"共苍溟县委、县人民政府组织和动员人民进行清匪反霸、","退押;实行土地改革,侥复和发展生产;开展对农业、手工业和资本主义工商业的社会主义改造,消灭剥削制度,建立社会主义制度;实施有计划的国民经济建设。社会总产值,第一个五年计划时期年均以12.93%的速度增长,第二个五年计划时期年均下降2.79%,第四个五年计划时期每年以5.26%的速"
xianzhi,A,退押,p-0018,"溟县委、县人民政府组织和动员人民进行清匪反霸、减租",";实行土地改革,侥复和发展生产;开展对农业、手工业和资本主义工商业的社会主义改造,消灭剥削制度,建立社会主义制度;实施有计划的国民经济建设。社会总产值,第一个五年计划时期年均以12.93%的速度增长,第二个五年计划时期年均下降2.79%,第四个五年计划时期每年以5.26%的速度递"
xianzhi,A,土地改革,p-0018,"人民政府组织和动员人民进行清匪反霸、减租退押;实行",",侥复和发展生产;开展对农业、手工业和资本主义工商业的社会主义改造,消灭剥削制度,建立社会主义制度;实施有计划的国民经济建设。社会总产值,第一个五年计划时期年均以12.93%的速度增长,第二个五年计划时期年均下降2.79%,第四个五年计划时期每年以5.26%的速度递增.1979年"
xianzhi,A,拒绝,p-0022,"玄,不仕王荻“,退归故里谯坝(今白驿乡境)隐居。又","公孙述聘请。光武平蜀,玄已故,诏令巴郗以中牢祭祀。汉安二年(143)道教创始人张道陵在苍漫云台山(今五里乡境)设治所(为全国道教28治所之一)。汉建安二十一年(216)蜀将张飞与魏将张邰大战瓦口隘(今苍溪五里乡境1,“张飞从问道紫阳山(今苍溟云峰乡境),迂回包抄,邰全军覆没,仅以"
xianzhi,A,被杀,p-0024,"国.副将徐昕、王佐夫人张氏及儿子、部属等40余人均","害。是年,苍溪县被元军占领。元至正二十八年、明洪武元年(1368)′苍溪、昭化县人在今享子乡境为王佐立墓碑。明洪武年间立庙、弘治年间,昭化人李应贞、苍溪人张聪等捐资重修。明洪武四年(1371)知县荣思齐建府馆,同时始建盐务分司.十四年(1381年)主簿杨守中重建府馆,中为正厅,有"
xianzhi,A,征粮,p-0024,"破苍溪县城。明嘧靖七年〔(1528)-大晃大饥。岁","1813石5斗2升4勺9搜、丝78斤(每斤抵岁征1石)。明隆庆四年(1570)大春,免征税粮。"
xianzhi,A,甲长,p-0025,"护孝子“…...。,置甲、总甲(每10家为!甲,置",",每100家为1总甲,置总甲长)。清顺治四年(1647)饥懋频仍,苍溪似洪荒之世。清顺治五年〔(1648)大旱、大饥、大疫,人自相食,存者万分之一。`清顺治七年(1650)明军败走,苍溪始由清王朝统治。清顺治十年(1653)清廷编粮,知县李受馨抱“吾官可弈,古册不可易也“决心如实"
xianzhi,A,甲长,p-0026,".全县分4乡,以10家为牌,置牌首;10牌为甲,置",";10甲为保,置保长。清康熙二年(1663)县设养济院(又名老人院)。清康熙十年(1671)移民入苍者众。楚、粤、黔、闺入苍插占为业者占十之五六,尤以湖广人居多。清康熙十二年(1673)8月24日“嘉陵江洪水漫进西、北、南门,城内行船。|清康熙十三年〔(1674)吴三桂据蜀,苍溪"
xianzhi,A,保长,p-0026,"家为牌,置牌首;10牌为甲,置甲长;10甲为保,置","。清康熙二年(1663)县设养济院(又名老人院)。清康熙十年(1671)移民入苍者众。楚、粤、黔、闺入苍插占为业者占十之五六,尤以湖广人居多。清康熙十二年(1673)8月24日“嘉陵江洪水漫进西、北、南门,城内行船。|清康熙十三年〔(1674)吴三桂据蜀,苍溪百姓破家失业者众。时"
xianzhi,A,镇压,p-0027,"与清军战斗在县境东河一带。11月,情龄率清军来苍滦","起义军。四年(!1799)12月,义军首领冉天元等率部于人头山(今岳东乡境)大败清兵,斩偏将以下头目25名,清兵尸横数里。清嘉庆五年(1800)白莲教农民起义军一部在罗其清等率领下占领苍溪,杀贪官,诛豪绅,打富济贫。清嘉庆七年(1802)总兵杨遇春及杨芳、田朝贵率清军数万于玛瑞山"
xianzhi,A,杀,p-0027,"0)白莲教农民起义军一部在罗其清等率领下占领苍溪,","贪官,诛豪绅,打富济贫。清嘉庆七年(1802)总兵杨遇春及杨芳、田朝贵率清军数万于玛瑞山坪(今文昌乡境)镇压白莲教农民起义军。义军因寝不敌众,全部壮烈牺牲。清道光二十年(1840)由清初的东、南、西、北4乡划为6乡,即桂花、大获、全信、龙山、柏岩、龙泉乡。清哈丰七年(1857)大"
xianzhi,A,豪绅,p-0027,"农民起义军一部在罗其清等率领下占领苍溪,杀贪官,诛",",打富济贫。清嘉庆七年(1802)总兵杨遇春及杨芳、田朝贵率清军数万于玛瑞山坪(今文昌乡境)镇压白莲教农民起义军。义军因寝不敌众,全部壮烈牺牲。清道光二十年(1840)由清初的东、南、西、北4乡划为6乡,即桂花、大获、全信、龙山、柏岩、龙泉乡。清哈丰七年(1857)大水入城。城东"
xianzhi,A,会议,p-0029,"志′冬舒子饷当选为众议院议员,杨伯琳当选为四川省议","员。是年“县设劝学所。民国2年(1913)提倡新学制:初等小学堂为四年制,口等小学堂为三年制。民国3年(1914)改学堂为学校。-民国4年(1915)创办县女子国民学校。`东溪乡人杨廷楚(西充县县长)在东溪场创办“弘农蚕种场“,从西充引进仁和蚕种场良种。民国7年〔(1918)1月"
xianzhi,A,击毙,p-0029,"四川陆军第一师营长鲁屏周率军迭攻九龙山,夺其巢穴,","匪首9名。翌年段、韩被熊克武招安。民国9年(1920)5月_滇、黔军联合押护孙中山的部分川军,倒熊克武,熊军败退闷中、苍溪一带,粮饷弹药均缺,军心涣散,苍溪人民大受其害。匪首冯玉成、万兴发率匪众1000多人,突袭县城,横行掳掠。9月_四川督军熊克武与原督军、“川军“总司令刘存厚修"
xianzhi,A,匪首,p-0029,"陆军第一师营长鲁屏周率军迭攻九龙山,夺其巢穴,击毙","9名。翌年段、韩被熊克武招安。民国9年(1920)5月_滇、黔军联合押护孙中山的部分川军,倒熊克武,熊军败退闷中、苍溪一带,粮饷弹药均缺,军心涣散,苍溪人民大受其害。匪首冯玉成、万兴发率匪众1000多人,突袭县城,横行掳掠。9月_四川督军熊克武与原督军、“川军“总司令刘存厚修好,"
