book,total_pages,empty_pages,hit_pages,status,notes
xianzhi,1053,2,579,full_scan_done,markers=1053 empty_pages=2 hit_pages=579
minzhengzhi_aa,199,0,131,full_scan_done,markers=199 empty_pages=0 hit_pages=131
minzhengzhi_zl,180,0,130,full_scan_done,markers=180 empty_pages=0 hit_pages=130
danganzhi,127,0,64,full_scan_done,markers=127 empty_pages=0 hit_pages=64
diminglu,413,3,42,full_scan_done,markers=413 empty_pages=3 hit_pages=42
yiwengushi18,173,1,47,full_scan_done,markers=173 empty_pages=1 hit_pages=47
jicheng52,566,5,55,full_scan_done,markers=566 empty_pages=5 hit_pages=55
